programmer_id,field_name
P139,ServerMange
P140,ServerMange
P141,ServerMange
P142,Front_End
P143,DBManege
P144,DBManege
P145,Front_End
P146,Back_End
P147,Front_End
P148,ServerMange
P149,DBManege
P150,Back_End
P151,Back_End
P152,DBManege
P153,Back_End
P154,ServerMange
P155,Front_End
P156,ServerMange
P157,Back_End
P158,ServerMange
P159,Back_End
P160,Full_Stack
P161,DBManege
P162,ServerMange
P163,Full_Stack
P164,ServerMange
P165,Back_End
P166,Front_End
P167,ServerMange
P168,DBManege
P169,DBManege
P170,Back_End
P171,Front_End
P172,Full_Stack
P173,Front_End
P174,Full_Stack
P175,DBManege
P176,Full_Stack
P177,Back_End
P178,Full_Stack
P179,ServerMange
P180,Full_Stack
P181,Back_End
P182,DBManege
P183,Full_Stack
P184,Back_End
P185,DBManege
P186,DBManege
P187,DBManege
P188,Front_End
P189,Front_End
P190,ServerMange
P191,Front_End
P192,Back_End
P193,Back_End
P194,Front_End
P195,Front_End
P196,Full_Stack
P197,ServerMange
P198,Back_End
P199,Front_End
P200,Full_Stack
P201,Front_End
P202,Front_End
P203,DBManege
P204,DBManege
P205,Full_Stack
P206,Front_End
P207,ServerMange
P208,DBManege
P209,Back_End
P210,Front_End
P211,Front_End
P212,Back_End
P213,Front_End
P214,DBManege
P215,DBManege
P216,Full_Stack
P217,Back_End
P218,Back_End
P219,Front_End
P220,Front_End
P221,ServerMange
P222,Front_End
P223,DBManege
P224,Back_End
P225,Front_End
P226,Full_Stack
P227,DBManege
P228,DBManege
P229,Full_Stack
P230,Back_End
P231,Full_Stack
P232,Front_End
P233,Full_Stack
P234,Back_End
P235,Front_End
P236,Full_Stack
P237,Back_End
P238,Back_End
P239,ServerMange
P240,DBManege
P241,DBManege
P242,Back_End
P243,Full_Stack
P244,DBManege
P245,Front_End
P246,ServerMange
P247,ServerMange
P248,Full_Stack
P249,ServerMange
P250,ServerMange
P251,DBManege
P252,DBManege
P253,Full_Stack
P254,Front_End
P255,Front_End
P256,ServerMange
P257,Full_Stack
P258,DBManege
P259,Back_End
P260,Back_End
P261,ServerMange
P262,DBManege
P263,Full_Stack
P264,DBManege
P265,Front_End
P266,ServerMange
P267,DBManege
P268,DBManege
P269,Front_End
P270,ServerMange
P271,Full_Stack
P272,Front_End
P273,Back_End
P274,Front_End
P275,Front_End
P276,ServerMange
P277,DBManege
P278,ServerMange
P279,Back_End
P280,ServerMange
P281,ServerMange
P282,Full_Stack
P283,ServerMange
P284,Back_End
P285,DBManege
P286,Front_End
P287,DBManege
P288,Full_Stack
P289,Front_End
P290,Front_End
P291,ServerMange
P292,Full_Stack
P293,DBManege
P294,DBManege
P295,Front_End
P296,Back_End
P297,Front_End
P298,Full_Stack
P299,Front_End
P300,Front_End
P301,Back_End
P302,ServerMange
P303,ServerMange
P304,DBManege
P305,Front_End
P306,ServerMange
P307,DBManege
P308,Back_End
P309,DBManege
P310,Full_Stack
P311,ServerMange
P312,Full_Stack
P313,Front_End
P314,Back_End
P315,Back_End
P316,ServerMange
P317,Back_End
P318,Back_End
P319,Back_End
P320,Back_End
P321,Back_End
P322,DBManege
P323,Back_End
P324,Back_End
P325,Full_Stack
P326,ServerMange
P327,DBManege
P328,Front_End
P329,ServerMange
P330,Full_Stack
P331,Back_End
P332,Front_End
P333,Full_Stack
P334,Back_End
P335,Full_Stack
P336,Full_Stack
P337,Back_End
P338,DBManege
P339,Full_Stack
P340,Front_End
P341,Front_End
P342,Front_End
P343,Full_Stack
P344,Full_Stack
P345,ServerMange
P346,ServerMange
P347,Front_End
P348,DBManege
P349,Full_Stack
P350,Front_End
P351,DBManege
P352,DBManege
P353,Front_End
P354,DBManege
P355,DBManege
P356,Back_End
P357,Full_Stack
P358,DBManege
P359,Full_Stack
P360,Front_End
P361,Full_Stack
P362,ServerMange
P363,ServerMange
P364,Front_End
P365,Front_End
P366,Front_End
P367,Full_Stack
P368,Back_End
P369,DBManege
P370,DBManege
P371,Back_End
P372,Full_Stack
P373,Full_Stack
P374,Front_End
P375,Front_End
P376,ServerMange
P377,DBManege
P378,ServerMange
P379,Full_Stack
P380,Front_End
P381,ServerMange
P382,Full_Stack
P383,Back_End
P384,Front_End
P385,ServerMange
P386,Back_End
P387,ServerMange
P388,Front_End
P389,DBManege
P390,Back_End
P391,Front_End
P392,DBManege
P393,ServerMange
P394,Front_End
P395,Back_End
P396,ServerMange
P397,ServerMange
P398,DBManege
P399,DBManege
P400,Full_Stack
P401,DBManege
P402,Front_End
P403,ServerMange
P404,ServerMange
P405,Front_End
P406,ServerMange
P407,DBManege
P408,DBManege
P409,Full_Stack
P410,Full_Stack
P411,DBManege
P412,Full_Stack
P413,Full_Stack
P414,Back_End
P415,Back_End
P416,Back_End
P417,DBManege
P418,Full_Stack
P419,Back_End
P420,ServerMange
P421,Front_End
P422,ServerMange
P423,ServerMange
P424,Front_End
P425,ServerMange
P426,Full_Stack
P427,DBManege
P428,Full_Stack
P429,Back_End
P430,DBManege
P431,DBManege
P432,Front_End
P433,Back_End
P434,Back_End
P435,DBManege
P436,DBManege
P437,ServerMange
P438,Back_End
P439,DBManege
P440,Back_End
P441,DBManege
P442,Front_End
P443,DBManege
P444,Front_End
P445,Full_Stack
P446,Front_End
P447,Front_End
P448,Full_Stack
P449,Back_End
P450,ServerMange
P451,Front_End
P452,DBManege
P453,ServerMange
P454,ServerMange
P455,Back_End
P456,Front_End
P457,DBManege
P458,Front_End
P459,ServerMange
P460,Back_End
P461,Back_End
P462,Full_Stack
P463,Full_Stack
P464,DBManege
P465,ServerMange
P466,Full_Stack
P467,Back_End
P468,Front_End
P469,DBManege
P470,Front_End
P471,Front_End
P472,Back_End
P473,DBManege
P474,DBManege
P475,Full_Stack
P476,DBManege
P477,DBManege
P478,ServerMange
P479,DBManege
P480,Back_End
P481,ServerMange
P482,Full_Stack
P483,Back_End
P484,Back_End
P485,Front_End
P486,Front_End
P487,Front_End
P488,ServerMange
P489,Back_End
P490,Back_End
P491,Front_End
P492,Full_Stack
P493,Full_Stack
P494,DBManege
P495,Front_End
P496,Front_End
P497,DBManege
P498,DBManege
P499,ServerMange
P500,Back_End
P501,Front_End
P502,Back_End
P503,DBManege
P504,Front_End
P505,DBManege
P506,Front_End
P507,Full_Stack
P508,Front_End
P509,ServerMange
P510,Back_End
P511,ServerMange
P512,Back_End
P513,Back_End
P514,ServerMange
P515,Front_End
P516,Full_Stack
P517,Back_End
P518,Back_End
P519,Full_Stack
P520,ServerMange
P521,Full_Stack
P522,DBManege
P523,Full_Stack
P524,Full_Stack
P525,ServerMange
P526,Back_End
P527,Front_End
P528,ServerMange
P529,ServerMange
P530,Back_End
P531,DBManege
P532,DBManege
P533,Full_Stack
P534,Back_End
P535,ServerMange
P536,Front_End
P537,Front_End
P538,Back_End
P539,DBManege
P540,Back_End
P541,Full_Stack
P542,Back_End
P543,Front_End
P544,ServerMange
P545,Front_End
P546,Front_End
P547,Front_End
P548,DBManege
P549,Full_Stack
P550,Full_Stack
P551,DBManege
P552,Front_End
P553,ServerMange
P554,ServerMange
P555,DBManege
P556,ServerMange
P557,DBManege
P558,Full_Stack
P559,Back_End
P560,ServerMange
P561,ServerMange
P562,Full_Stack
P563,Back_End
P564,DBManege
P565,Back_End
P566,Full_Stack
P567,Full_Stack
P568,Front_End
P569,ServerMange
P570,ServerMange
P571,Front_End
P572,Full_Stack
P573,DBManege
P574,Front_End
P575,DBManege
P576,Front_End
P577,Back_End
P578,ServerMange
P579,ServerMange
P580,Full_Stack
P581,Front_End
P582,Back_End
P583,Front_End
P584,Back_End
P585,ServerMange
P586,Front_End
P587,Back_End
P588,ServerMange
P589,Back_End
P590,ServerMange
P591,ServerMange
P592,DBManege
P593,Front_End
P594,DBManege
P595,DBManege
P596,Back_End
P597,Back_End
P598,Front_End
P599,Full_Stack
P600,DBManege
P601,Full_Stack
P602,Front_End
P603,DBManege
P604,ServerMange
P605,ServerMange
P606,Front_End
P607,ServerMange
P608,DBManege
P609,ServerMange
P610,DBManege
P611,ServerMange
P612,ServerMange
P613,Front_End
P614,ServerMange
P615,DBManege
P616,Front_End
P617,ServerMange
P618,Front_End
P619,Back_End
P620,ServerMange
P621,Front_End
P622,Full_Stack
P623,Front_End
P624,Front_End
P625,ServerMange
P626,DBManege
P627,DBManege
P628,Full_Stack
P629,Front_End
P630,Back_End
P631,Front_End
P632,ServerMange
P633,Front_End
P634,Full_Stack
P635,Full_Stack
P636,DBManege
P637,Back_End
P638,Back_End
P639,Back_End
P640,DBManege
P641,Front_End
P642,Back_End
P643,Back_End
P644,Full_Stack
P645,Front_End
P646,Front_End
P647,DBManege
P648,ServerMange
P649,Back_End
P650,ServerMange
P651,DBManege
P652,Front_End
P653,DBManege
P654,DBManege
P655,ServerMange
P656,Back_End
P657,DBManege
P658,Full_Stack
P659,Back_End
P660,ServerMange
P661,ServerMange
P662,DBManege
P663,Front_End
P664,DBManege
P665,Back_End
P666,Back_End
P667,DBManege
P668,DBManege
P669,Front_End
P670,Back_End
P671,DBManege
P672,Front_End
P673,Front_End
P674,Back_End
P675,Back_End
P676,Front_End
P677,Back_End
P678,ServerMange
P679,Full_Stack
P680,Full_Stack
P681,Front_End
P682,ServerMange
P683,Front_End
P684,Full_Stack
P685,Full_Stack
P686,ServerMange
P687,Full_Stack
P688,Back_End
P689,Front_End
P690,Full_Stack
P691,Front_End
P692,ServerMange
P693,Front_End
P694,Back_End
P695,Back_End
P696,Front_End
P697,Front_End
P698,Front_End
P699,ServerMange
P700,ServerMange
P701,Back_End
P702,ServerMange
P703,Front_End
P704,Back_End
P705,ServerMange
P706,DBManege
P707,Full_Stack
P708,DBManege
P709,Back_End
P710,ServerMange
P711,Full_Stack
P712,Full_Stack
P713,ServerMange
P714,Full_Stack
P715,Front_End
P716,Full_Stack
P717,Front_End
P718,DBManege
P719,Back_End
P720,DBManege
P721,ServerMange
P722,Back_End
P723,ServerMange
P724,Back_End
P725,Front_End
P726,Back_End
P727,DBManege
P728,Full_Stack
P729,Full_Stack
P730,Full_Stack
P731,Full_Stack
P732,Front_End
P733,Back_End
P734,DBManege
P735,Back_End
P736,DBManege
P737,Front_End
P738,DBManege
P739,Front_End
P740,Front_End
P741,ServerMange
P742,Front_End
P743,Front_End
P744,ServerMange
P745,Back_End
P746,Front_End
P747,ServerMange
P748,ServerMange
P749,DBManege
P750,Back_End
P751,ServerMange
P752,DBManege
P753,Front_End
P754,Back_End
P755,DBManege
P756,DBManege
P757,Back_End
P758,DBManege
P759,DBManege
P760,Front_End
P761,Full_Stack
P762,Back_End
P763,Back_End
P764,DBManege
P765,ServerMange
P766,DBManege
P767,Back_End
P768,Full_Stack
P769,Back_End
P770,DBManege
P771,DBManege
P772,Back_End
P773,Front_End
P774,ServerMange
P775,Back_End
P776,ServerMange
P777,DBManege
P778,Back_End
P779,Front_End
P780,Front_End
P781,DBManege
P782,Back_End
P783,ServerMange
P784,ServerMange
P785,Front_End
P786,DBManege
P787,Front_End
P788,ServerMange
P789,Back_End
P790,ServerMange
P791,Full_Stack
P792,Full_Stack
P793,Front_End
P794,Front_End
P795,Front_End
P796,Full_Stack
P797,ServerMange
P798,ServerMange
P799,ServerMange
P800,Back_End
P801,Back_End
P802,Back_End
P803,Back_End
P804,ServerMange
P805,Full_Stack
P806,Full_Stack
P807,ServerMange
P808,Back_End
P809,DBManege
P810,Full_Stack
P811,DBManege
P812,DBManege
P813,DBManege
P814,Front_End
P815,Back_End
P816,Front_End
P817,ServerMange
P818,Back_End
P819,ServerMange
P820,Full_Stack
P821,ServerMange
P822,DBManege
P823,DBManege
P824,Full_Stack
P825,Front_End
P826,ServerMange
P827,ServerMange
P828,Full_Stack
P829,Front_End
P830,ServerMange
P831,Back_End
P832,Full_Stack
P833,Full_Stack
P834,DBManege
P835,Full_Stack
P836,Full_Stack
P837,Full_Stack
P838,DBManege
P839,DBManege
P840,Front_End
P841,Back_End
P842,Front_End
P843,DBManege
P844,Back_End
P845,ServerMange
P846,Full_Stack
P847,Full_Stack
P848,ServerMange
P849,DBManege
P850,Full_Stack
P851,DBManege
P852,Front_End
P853,ServerMange
P854,ServerMange
P855,DBManege
P856,Full_Stack
P857,ServerMange
P858,Full_Stack
P859,ServerMange
P860,Front_End
P861,DBManege
P862,Front_End
P863,Back_End
P864,Full_Stack
P865,ServerMange
P866,Full_Stack
P867,Front_End
P868,DBManege
P869,DBManege
P870,Front_End
P871,Back_End
P872,ServerMange
P873,Front_End
P874,Full_Stack
P875,Back_End
P876,DBManege
P877,DBManege
P878,Full_Stack
P879,ServerMange
P880,Full_Stack
P881,Back_End
P882,Front_End
P883,Back_End
P884,Full_Stack
P885,Full_Stack
P886,ServerMange
P887,Front_End
P888,DBManege
P889,Full_Stack
P890,Back_End
P891,DBManege
P892,Back_End
P893,Front_End
P894,Front_End
P895,Back_End
P896,Front_End
P897,DBManege
P898,Back_End
P899,Front_End
P900,Front_End
P901,Back_End
P902,Full_Stack
P903,DBManege
P904,Full_Stack
P905,Front_End
P906,ServerMange
P907,Full_Stack
P908,DBManege
P909,DBManege
P910,DBManege
P911,ServerMange
P912,DBManege
P913,Back_End
P914,Front_End
P915,DBManege
P916,ServerMange
P917,DBManege
P918,DBManege
P919,ServerMange
P920,ServerMange
P921,Front_End
P922,DBManege
P923,DBManege
P924,ServerMange
P925,Front_End
P926,ServerMange
P927,Back_End
P928,Front_End
P929,ServerMange
P930,Front_End
P931,Full_Stack
P932,DBManege
P933,Full_Stack
P934,Back_End
P935,Full_Stack
P936,DBManege
P937,Full_Stack
P938,Back_End
P939,Back_End
P940,DBManege
P941,Full_Stack
P942,DBManege
P943,ServerMange
P944,Back_End
P945,Full_Stack
P946,Front_End
P947,Back_End
P948,Full_Stack
P949,Back_End
P950,DBManege
P951,Back_End
P952,ServerMange
P953,DBManege
P954,Front_End
P955,ServerMange
P956,Full_Stack
P957,Back_End
P958,ServerMange
P959,Front_End
P960,Front_End
P961,DBManege
P962,Back_End
P963,Front_End
P964,Full_Stack
P965,Front_End
P966,ServerMange
P967,Back_End
P968,ServerMange
P969,Full_Stack
P970,Full_Stack
P971,Back_End
P972,Full_Stack
P973,ServerMange
P974,Back_End
P975,Full_Stack
P976,Back_End
P977,Front_End
P978,Full_Stack
P979,ServerMange
P980,ServerMange
P981,Full_Stack
P982,Full_Stack
P983,Front_End
P984,Front_End
P985,ServerMange
P986,DBManege
P987,DBManege
P988,ServerMange
P989,Full_Stack
P990,Full_Stack
P991,Back_End
P992,Front_End
P993,Back_End
P994,Front_End
P995,ServerMange
P996,ServerMange
P997,Full_Stack
P998,Full_Stack
P999,DBManege
P1000,Front_End
P1001,Full_Stack
P1002,Full_Stack
P1003,Full_Stack
P1004,Back_End
P1005,Back_End
P1006,Full_Stack
P1007,Front_End
P1008,Front_End
P1009,Front_End
P1010,ServerMange
P1011,DBManege
P1012,DBManege
P1013,Full_Stack
P1014,DBManege
P1015,ServerMange
P1016,ServerMange
P1017,ServerMange
P1018,Full_Stack
P1019,Front_End
P1020,Front_End
P1021,Back_End
P1022,DBManege
P1023,Full_Stack
P1024,DBManege
P1025,Full_Stack
P1026,DBManege
P1027,DBManege
P1028,Back_End
P1029,Full_Stack
P1030,Full_Stack
P1031,ServerMange
P1032,Full_Stack
P1033,ServerMange
P1034,DBManege
P1035,Front_End
P1036,Full_Stack
P1037,Full_Stack
P1038,Front_End
P1039,DBManege
P1040,Back_End
P1041,Full_Stack
P1042,ServerMange
P1043,DBManege
P1044,ServerMange
P1045,DBManege
P1046,Full_Stack
P1047,ServerMange
P1048,Full_Stack
P1049,ServerMange
P1050,Full_Stack
P1051,DBManege
P1052,Back_End
P1053,Back_End
P1054,Full_Stack
P1055,Front_End
P1056,ServerMange
P1057,DBManege
P1058,DBManege
P1059,Back_End
P1060,Full_Stack
P1061,Full_Stack
P1062,Full_Stack
P1063,DBManege
P1064,DBManege
P1065,DBManege
P1066,Front_End
P1067,Full_Stack
P1068,ServerMange
P1069,Front_End
P1070,ServerMange
P1071,Full_Stack
P1072,Front_End
P1073,Front_End
P1074,Full_Stack
P1075,ServerMange
P1076,Full_Stack
P1077,Full_Stack
P1078,Front_End
P1079,ServerMange
P1080,Full_Stack
P1081,Back_End
P1082,ServerMange
P1083,Front_End
P1084,Full_Stack
P1085,ServerMange
P1086,ServerMange
P1087,Full_Stack
P1088,DBManege
P1089,ServerMange
P1090,Front_End
P1091,Back_End
P1092,Full_Stack
P1093,DBManege
P1094,Back_End
P1095,DBManege
P1096,ServerMange
P1097,Back_End
P1098,Full_Stack
P1099,Back_End
P1100,Back_End
P1101,Back_End
P1102,Back_End
P1103,ServerMange
P1104,Full_Stack
P1105,Back_End
P1106,DBManege
P1107,Front_End
P1108,DBManege
P1109,DBManege
P1110,ServerMange
P1111,DBManege
P1112,Full_Stack
P1113,DBManege
P1114,Front_End
P1115,Back_End
P1116,Front_End
P1117,ServerMange
P1118,Back_End
P1119,ServerMange
P1120,Full_Stack
P1121,DBManege
P1122,ServerMange
P1123,DBManege
P1124,Back_End
P1125,DBManege
P1126,Full_Stack
P1127,Front_End
P1128,ServerMange
P1129,Back_End
P1130,Back_End
P1131,Full_Stack
P1132,Back_End
P1133,ServerMange
P1134,Front_End
P1135,ServerMange
P1136,ServerMange
P1137,ServerMange
P1138,Back_End
P1139,DBManege
P1140,Full_Stack
P1141,DBManege
P1142,Front_End
P1143,Back_End
P1144,DBManege
P1145,ServerMange
P1146,Front_End
P1147,Back_End
P1148,ServerMange
P1149,Full_Stack
P1150,DBManege
P1151,Full_Stack
P1152,ServerMange
P1153,DBManege
P1154,DBManege
P1155,Front_End
P1156,Full_Stack
P1157,Full_Stack
P1158,Back_End
P1159,ServerMange
P1160,Front_End
P1161,DBManege
P1162,DBManege
P1163,Back_End
P1164,ServerMange
P1165,ServerMange
P1166,ServerMange
P1167,DBManege
P1168,DBManege
P1169,Back_End
P1170,DBManege
P1171,Front_End
P1172,Full_Stack
P1173,Back_End
P1174,Front_End
P1175,Back_End
P1176,Back_End
P1177,Back_End
P1178,Full_Stack
P1179,Back_End
P1180,Full_Stack
P1181,DBManege
P1182,Full_Stack
P1183,DBManege
P1184,DBManege
P1185,Back_End
P1186,DBManege
P1187,Back_End
P1188,Front_End
P1189,DBManege
P1190,ServerMange
P1191,DBManege
P1192,DBManege
P1193,Full_Stack
P1194,ServerMange
P1195,Front_End
P1196,Full_Stack
P1197,ServerMange
P1198,Back_End
P1199,Full_Stack
P1200,Front_End
P1201,Full_Stack
P1202,Full_Stack
P1203,Back_End
P1204,DBManege
P1205,Back_End
P1206,Full_Stack
P1207,Back_End
P1208,Full_Stack
P1209,Front_End
P1210,ServerMange
P1211,Full_Stack
P1212,Front_End
P1213,Back_End
P1214,Front_End
P1215,Back_End
P1216,Back_End
P1217,Back_End
P1218,Front_End
P1219,DBManege
P1220,ServerMange
P1221,ServerMange
P1222,Back_End
P1223,ServerMange
P1224,Front_End
P1225,Front_End
P1226,DBManege
P1227,Back_End
P1228,Full_Stack
P1229,ServerMange
P1230,Front_End
P1231,ServerMange
P1232,ServerMange
P1233,DBManege
P1234,ServerMange
P1235,Front_End
P1236,ServerMange
P1237,Front_End
P1238,Front_End
P1239,Front_End
P1240,Front_End
P1241,Back_End
P1242,Front_End
P1243,DBManege
P1244,Full_Stack
P1245,Full_Stack
P1246,Full_Stack
P1247,Front_End
P1248,Full_Stack
P1249,Full_Stack
P1250,ServerMange
P1251,DBManege
P1252,Full_Stack
P1253,Full_Stack
P1254,Front_End
P1255,Back_End
P1256,ServerMange
P1257,Full_Stack
P1258,ServerMange
P1259,DBManege
P1260,Front_End
P1261,Front_End
P1262,ServerMange
P1263,DBManege
P1264,Front_End
P1265,ServerMange
P1266,ServerMange
P1267,DBManege
P1268,Full_Stack
P1269,Back_End
P1270,ServerMange
P1271,ServerMange
P1272,ServerMange
P1273,ServerMange
P1274,DBManege
P1275,Front_End
P1276,Front_End
P1277,Front_End
P1278,Back_End
P1279,ServerMange
P1280,Back_End
P1281,ServerMange
P1282,ServerMange
P1283,Full_Stack
P1284,Front_End
P1285,Back_End
P1286,Back_End
P1287,ServerMange
P1288,Full_Stack
P1289,ServerMange
P1290,Front_End
P1291,Back_End
P1292,Back_End
P1293,Front_End
P1294,ServerMange
P1295,Front_End
P1296,DBManege
P1297,Front_End
P1298,ServerMange
P1299,ServerMange
P1300,DBManege
P1301,Back_End
P1302,ServerMange
P1303,ServerMange
P1304,Front_End
P1305,DBManege
P1306,DBManege
P1307,Back_End
P1308,Front_End
P1309,DBManege
P1310,Full_Stack
P1311,Front_End
P1312,Back_End
P1313,Full_Stack
P1314,Front_End
P1315,Front_End
P1316,ServerMange
P1317,DBManege
P1318,DBManege
P1319,DBManege
P1320,ServerMange
P1321,ServerMange
P1322,Full_Stack
P1323,DBManege
P1324,Front_End
P1325,Back_End
P1326,Front_End
P1327,Full_Stack
P1328,Back_End
P1329,Front_End
P1330,Full_Stack
P1331,DBManege
P1332,Front_End
P1333,Front_End
P1334,DBManege
P1335,ServerMange
P1336,Full_Stack
P1337,Back_End
P1338,Front_End
P1339,ServerMange
P1340,Back_End
P1341,Front_End
P1342,DBManege
P1343,Full_Stack
P1344,Full_Stack
P1345,Full_Stack
P1346,Full_Stack
P1347,DBManege
P1348,Front_End
P1349,ServerMange
P1350,DBManege
P1351,Back_End
P1352,Front_End
P1353,ServerMange
P1354,Back_End
P1355,Full_Stack
P1356,Full_Stack
P1357,Full_Stack
P1358,Back_End
P1359,DBManege
P1360,ServerMange
P1361,Front_End
P1362,Front_End
P1363,DBManege
P1364,Front_End
P1365,Front_End
P1366,Full_Stack
P1367,Back_End
P1368,Front_End
P1369,Back_End
P1370,Back_End
P1371,Front_End
P1372,Front_End
P1373,ServerMange
P1374,Full_Stack
P1375,Back_End
P1376,Back_End
P1377,Front_End
P1378,DBManege
P1379,Front_End
P1380,Full_Stack
P1381,Full_Stack
P1382,ServerMange
P1383,ServerMange
P1384,Full_Stack
P1385,DBManege
P1386,Back_End
P1387,Back_End
P1388,ServerMange
P1389,Front_End
P1390,DBManege
P1391,DBManege
P1392,Front_End
P1393,DBManege
P1394,ServerMange
P1395,DBManege
P1396,Back_End
P1397,DBManege
P1398,DBManege
P1399,Full_Stack
P1400,DBManege
P1401,Front_End
P1402,ServerMange
P1403,DBManege
P1404,Back_End
P1405,Full_Stack
P1406,ServerMange
P1407,ServerMange
P1408,Full_Stack
P1409,DBManege
P1410,ServerMange
P1411,Back_End
P1412,ServerMange
P1413,DBManege
P1414,DBManege
P1415,DBManege
P1416,DBManege
P1417,Full_Stack
P1418,Back_End
P1419,Back_End
P1420,Full_Stack
P1421,Front_End
P1422,Back_End
P1423,Back_End
P1424,Full_Stack
P1425,Front_End
P1426,Front_End
P1427,Back_End
P1428,DBManege
P1429,Back_End
P1430,DBManege
P1431,Back_End
P1432,Full_Stack
P1433,Back_End
P1434,Back_End
P1435,Full_Stack
P1436,DBManege
P1437,ServerMange
P1438,Full_Stack
P1439,DBManege
P1440,DBManege
P1441,DBManege
P1442,Front_End
P1443,Front_End
P1444,DBManege
P1445,Full_Stack
P1446,Front_End
P1447,Front_End
P1448,ServerMange
P1449,Full_Stack
P1450,DBManege
P1451,Back_End
P1452,Back_End
P1453,DBManege
P1454,ServerMange
P1455,Front_End
P1456,Full_Stack
P1457,Front_End
P1458,Back_End
P1459,ServerMange
P1460,Front_End
P1461,Back_End
P1462,Full_Stack
P1463,Front_End
P1464,Full_Stack
P1465,Full_Stack
P1466,Front_End
P1467,ServerMange
P1468,ServerMange
P1469,Front_End
P1470,Full_Stack
P1471,Back_End
P1472,DBManege
P1473,Full_Stack
P1474,Full_Stack
P1475,DBManege
P1476,Back_End
P1477,Back_End
P1478,Front_End
P1479,ServerMange
P1480,ServerMange
P1481,Full_Stack
P1482,Back_End
P1483,DBManege
P1484,Full_Stack
P1485,DBManege
P1486,ServerMange
P1487,Front_End
P1488,ServerMange
P1489,Front_End
P1490,Full_Stack
P1491,Back_End
P1492,Back_End
P1493,ServerMange
P1494,DBManege
P1495,Full_Stack
P1496,Full_Stack
P1497,Full_Stack
P1498,Back_End
P1499,DBManege
P1500,Back_End
P1501,Full_Stack
P1502,Back_End
P1503,Back_End
P1504,Back_End
P1505,DBManege
P1506,Back_End
P1507,ServerMange
P1508,Back_End
P1509,Back_End
P1510,DBManege
P1511,Full_Stack
P1512,ServerMange
P1513,Full_Stack
P1514,Back_End
P1515,Front_End
P1516,DBManege
P1517,DBManege
P1518,Back_End
P1519,DBManege
P1520,Full_Stack
P1521,DBManege
P1522,DBManege
P1523,DBManege
P1524,Front_End
P1525,Back_End
P1526,DBManege
P1527,Front_End
P1528,Front_End
P1529,DBManege
P1530,DBManege
P1531,Front_End
P1532,Back_End
P1533,Full_Stack
P1534,Full_Stack
P1535,Back_End
P1536,Full_Stack
P1537,Front_End
P1538,Back_End
P1539,Back_End
P1540,Full_Stack
P1541,Back_End
P1542,DBManege
P1543,Back_End
P1544,Full_Stack
P1545,ServerMange
P1546,DBManege
P1547,Back_End
P1548,Front_End
P1549,Full_Stack
P1550,Back_End
P1551,Back_End
P1552,Front_End
P1553,Back_End
P1554,Front_End
P1555,Back_End
P1556,ServerMange
P1557,ServerMange
P1558,Front_End
P1559,DBManege
P1560,Front_End
P1561,DBManege
P1562,Front_End
P1563,ServerMange
P1564,DBManege
